,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
44,5,554,145,1,11557.948150825076,399.66243589212695,277.63461267151564,True
45,1,637,587,22,2086.5754497139496,1908.3686789874896,2150.1562527774518,False
46,2,637,587,22,4417.586425955173,2189.776199701282,4552.97172689985,False
47,3,637,587,22,6526.364171637548,456.15002433684805,649.6873253289374,True
48,4,637,587,22,9376.684532676967,409.86929118887986,414.46472118868786,True
49,5,637,587,22,12689.931540837699,393.4464176654589,301.0020466069988,True
50,1,242,305,4,2100.567833361451,1921.4769330642382,2164.7217884530523,False
51,2,242,305,4,4445.174677253938,3130.958599380048,4513.163134484803,False
52,3,242,305,4,6732.285351316233,452.35917885352893,459.06082658162904,True
53,4,242,305,4,9228.676509065728,411.4062017898861,372.44326259662023,True
54,5,242,305,4,12266.934520723022,395.75902710729497,295.52485846154616,True
55,1,766,809,30,2054.3598086507127,1879.1899031016023,2115.6544762458775,False
56,2,766,809,30,4522.408628335664,3440.972707893164,4577.253251283102,False
57,3,766,809,30,6887.851464411088,453.9020577634294,353.5597539760888,True
58,4,766,809,30,9317.332464029487,409.0028693256057,283.87982409650016,True
59,5,766,809,30,12159.02602204321,397.559057406079,197.85530514902374,True
60,1,492,310,27,2046.4561401376516,1871.9584410287716,2111.040148747436,False
61,2,492,310,27,4470.204852182872,1362.2953337326067,4649.293162024871,False
62,3,492,310,27,6554.519090402337,451.21724873825104,371.2686606942371,True
63,4,492,310,27,9213.83623948054,406.6839434391422,376.4297845372448,True
64,5,492,310,27,12359.024929366928,394.22450520416635,305.72823189716996,True
65,1,131,283,28,1985.4725023553224,1836.50063523723,2053.653042644676,False
66,2,131,283,28,4336.444543194193,3301.8563677110656,4395.486877835777,False
67,3,131,283,28,6600.007574495694,456.09228292280943,485.6860922115946,True
68,4,131,283,28,9060.198972721495,413.1473155337041,337.93425870947647,True
69,5,131,283,28,11959.82400188042,397.3887354252678,288.6167535684872,True
70,1,671,854,5,1948.746571875748,1802.4619910634328,2012.464688608019,False
71,2,671,854,5,4431.979426759074,3121.1332485339553,4492.008847537232,False
72,3,671,854,5,6955.067799782201,447.20135855035994,508.84461566579364,True
73,4,671,854,5,9537.629499995845,409.15219200320354,364.3250231126464,True
74,5,671,854,5,12959.411630525143,394.9160732317682,292.4062273529765,True
75,1,221,402,12,2031.2462487285018,1890.1360514694188,2093.1226928407154,False
76,2,221,402,12,4468.496305380687,3148.0464570191675,4530.513404677805,False
77,3,221,402,12,7285.204126289354,449.9159361264789,498.6381882876917,True
78,4,221,402,12,9524.40540910461,413.41663882768853,428.5015566049035,True
