,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
0,4,554,145,1,9214.436499226576,158.59875186947417,0.8707021058304535,True
1,4,346,530,2,9299.068287243803,159.1868301817337,0.8817891250985973,True
2,4,527,605,3,9697.632227606095,156.98548024134365,0.8665261137106266,True
3,4,242,305,4,9265.696330635627,156.83796368406354,0.8502810150260062,True
4,4,671,854,5,9753.953224454592,159.8823517951716,0.8911342516530346,True
5,4,444,601,6,9412.026365866557,156.31532404977486,0.8558067044370634,True
6,4,215,295,7,9729.265219694375,163.3765090667228,0.9170766741731925,True
7,4,243,552,8,9409.125074363525,159.2733442476875,0.8924245597468021,True
8,4,469,393,9,8782.996133969862,144.94045527472431,0.7829160884408359,False
9,4,451,350,10,9541.035609253022,156.31750248156794,0.8509951962682168,True
10,4,583,595,11,9595.90515078348,157.3727446993755,0.8687926082306417,True
11,4,221,402,12,9198.021326899856,159.89225062620227,0.8749575396244097,True
12,4,312,488,13,8989.156995530835,152.36298338154302,0.867909113265634,True
13,4,709,514,14,9491.356073998142,156.99267956754923,0.8683918245275843,True
14,4,692,468,15,9635.601645926747,156.75800280796062,0.8589519268272299,True
15,4,403,403,16,9760.671593800285,157.42881504079037,0.8708077345370222,True
16,4,682,666,17,9310.700475463054,156.42855786375472,0.8453183862297414,True
17,4,306,235,18,9841.466208468724,161.93822113072073,0.8873410648694933,True
18,4,593,626,19,9450.273590276462,157.36981742285045,0.8805682520824164,True
19,4,79,269,20,9257.429943520337,153.9681059487308,0.8806765615886663,True
20,4,699,733,21,9303.027831982425,157.3445402211131,0.8734414851297835,True
21,4,637,587,22,9460.089867982342,157.78586391159772,0.8662423517881801,True
22,4,558,234,23,9916.555602432334,161.93662616224293,0.8945983819360763,True
23,4,281,566,24,8989.58445090643,153.58590944148906,0.8378793129466724,True
24,4,435,219,25,9761.739276271664,157.20344327531782,0.8642309176754932,True
25,4,299,567,26,10083.978637570006,160.87791061764256,0.8846706407012082,True
26,4,492,310,27,9622.368797106894,155.88222045228628,0.8550963808822871,True
27,4,131,283,28,9497.170373220106,159.01897026832032,0.8853285791858684,True
28,4,581,539,29,9454.985497253403,162.09768430640585,0.8864911672051069,True
29,4,766,809,30,9630.556314898759,158.56442960685445,0.8877435544606922,True
