,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
0,2,554,145,1,4602.3695720728465,115.15281571796412,1.0679838716871246,False
1,2,346,530,2,4599.649022433156,115.94935490028405,1.067989547314348,False
2,2,527,605,3,4571.350852496748,114.2442242361712,1.0773735372552975,False
3,2,242,305,4,4646.32540823461,113.55771565002081,1.022937741497796,False
4,2,671,854,5,4572.723423417807,116.29379056016771,1.0847644838096628,False
5,2,444,601,6,4537.431701735015,113.68604609297208,1.0429425470237839,False
6,2,215,295,7,4702.174958263017,118.7084546036506,1.1378754206209907,False
7,2,243,552,8,4547.854666504971,115.5793226773679,1.0938338762775663,False
8,2,469,393,9,4339.180727870617,109.46781915588663,1.006810287632296,False
9,2,451,350,10,4547.652310656899,114.04938667064859,1.0447059168579502,False
10,2,583,595,11,4524.355771119234,114.7214418125367,1.0600587628171594,False
11,2,221,402,12,4673.798277850927,116.99782463982048,1.0716368008279704,False
12,2,312,488,13,4221.714467414418,108.88918163752636,0.9773513759779221,False
13,2,709,514,14,4617.744403543473,113.9652196025521,1.064180259846853,False
14,2,692,468,15,4588.657359832869,114.39722575405737,1.0584183838411434,False
15,2,403,403,16,4500.746593729212,114.55168501262868,1.0758909562660646,False
16,2,682,666,17,4541.2536101686765,114.5197081523925,1.0272331180232754,False
17,2,306,235,18,4721.556272302155,117.85275780398008,1.1011194498367183,False
18,2,593,626,19,4435.737234745632,114.43499316206653,1.0902290501621308,False
19,2,79,269,20,4516.569560321982,113.5342820242784,1.1005605554661715,False
20,2,699,733,21,4521.673734046204,114.3440547297628,1.0725706058012119,False
21,2,637,587,22,4467.725166259253,115.42349371879827,1.0578283102662356,False
22,2,558,234,23,4687.745299612684,117.52373080434948,1.0896643417030454,False
23,2,281,566,24,4434.753620162591,113.67639527010813,1.014414455800935,False
24,2,435,219,25,4633.525412387983,114.80206718533991,1.0760758217555986,False
25,2,299,567,26,4822.604829334949,115.98564700634589,1.0521766148566185,False
26,2,492,310,27,4560.0869709372155,113.23659572008009,1.0505691411122426,False
27,2,131,283,28,4644.3673712218415,116.13299910764266,1.1083118741647293,False
28,2,581,539,29,4713.0390443006045,118.33355415878488,1.0761953098115862,False
29,2,766,809,30,4542.697653856356,115.07601296747342,1.080086850059721,False
