,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
0,5,554,145,1,11492.931633673015,171.70182323055442,0.665119842966374,True
1,5,346,530,2,11916.380957633504,172.48521566410668,0.675952222285745,True
2,5,527,605,3,12159.99434911048,169.96475992887503,0.6625962818468039,True
3,5,242,305,4,12056.031333757861,169.86136376625075,0.6503138172539176,True
4,5,671,854,5,12767.565367989333,173.14606795546695,0.6867645307194137,True
5,5,444,601,6,11968.234746007354,169.6932246786987,0.657363440817527,True
6,5,215,295,7,12378.781998165488,176.80889511662994,0.7088303574841939,True
7,5,243,552,8,12220.852017037514,172.2621839548845,0.6848539951235066,True
8,5,469,393,9,11213.61140282485,157.56934221168987,0.6070303988610655,False
9,5,451,350,10,12239.404081808198,169.25696424935256,0.6518437283240822,True
10,5,583,595,11,12254.854687427323,170.2475754698634,0.666048683394021,True
11,5,221,402,12,11778.9818612878,173.26002517436902,0.6745638807077202,True
12,5,312,488,13,11547.281466533443,165.36465592043245,0.6608188672342276,True
13,5,709,514,14,11958.848314816512,169.9204200793576,0.6634081128124518,True
14,5,692,468,15,12248.677790696105,169.81872838418948,0.6600628794475,True
15,5,403,403,16,12380.653962646747,170.57295662874765,0.6685474867291932,True
16,5,682,666,17,12167.325167291508,169.38954889535043,0.650109358245477,True
17,5,306,235,18,12547.767272195904,175.037243654732,0.6871438346387553,True
18,5,593,626,19,11959.19784961754,170.66496529003342,0.6741156816770905,True
19,5,79,269,20,11835.950303770445,167.08952588816987,0.6748320717029261,True
20,5,699,733,21,12163.301076796797,170.50833004438803,0.6711658815933991,True
21,5,637,587,22,12477.87998376642,170.65238678636558,0.6643545873968882,True
22,5,558,234,23,12714.079470788043,175.15945544296548,0.692922877209863,True
23,5,281,566,24,11993.759986042678,166.8630131873106,0.642170849823075,True
24,5,435,219,25,12129.352107272838,170.34337776788547,0.6646716992494445,True
25,5,299,567,26,12470.905383217667,173.76281343766075,0.680722280884152,True
26,5,492,310,27,12608.366478923273,168.84407385389449,0.6543060955918649,True
27,5,131,283,28,11738.763673996104,172.35697457093067,0.6752586190403276,True
28,5,581,539,29,12231.13654220749,175.1590867272695,0.6863885840346774,True
29,5,766,809,30,12541.458152331552,171.65456377602362,0.6798778616655643,True
