,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
0,1,482,413,6,2039.5904704753425,1865.6019643008535,2096.792367364783,False
1,2,482,413,6,4456.276160968251,2202.5124203175224,4595.495728429819,False
2,3,482,413,6,6654.405680823667,452.62709508314185,639.6888391015962,True
3,4,482,413,6,9196.290899600126,406.70911155263514,412.0717755786405,True
4,5,482,413,6,12365.38784649753,390.97333703721495,345.86537053234133,True
5,1,482,413,18,2048.6098632643193,1873.7799858005583,2111.2587773541177,False
6,2,482,413,18,4495.890111036332,3164.7353248021573,4561.435098119857,False
7,3,482,413,18,6844.562669620906,454.8676705925645,615.6385871741991,True
8,4,482,413,18,9648.10447058941,411.0459528677087,409.9790127980394,True
9,5,482,413,18,12916.980540131297,392.73684232115244,338.4216175677259,True
10,1,482,413,16,1975.6276029041014,1827.3234534253434,2043.4574890791328,False
11,2,482,413,16,4527.900607667221,2765.590867170388,4623.184841727662,False
12,3,482,413,16,6942.998688444419,442.8868158364666,509.13103957886506,True
13,4,482,413,16,9605.179050688877,409.78442689714836,385.01174433592445,True
14,5,482,413,16,12986.134978061413,399.0128065941029,318.69114474513543,True
15,1,482,413,10,2064.9669124780485,1888.8019018495124,2127.6110809777033,False
16,2,482,413,10,4555.543159490082,2251.7441391356474,4688.462900495587,False
17,3,482,413,10,7054.930375709175,451.42247453574066,409.45836449200533,True
18,4,482,413,10,9366.527600988109,407.5302192367144,286.0446924964397,True
19,5,482,413,10,12599.254998262404,398.4001878238678,238.52056669393642,True
20,1,482,413,17,1979.9529211181975,1831.3228273780974,2047.9298747038974,False
21,2,482,413,17,4596.693258707166,591.6956922024217,1744.9010698408283,True
22,3,482,413,17,6918.314578677019,449.8717519078704,286.8818864174157,True
23,4,482,413,17,9315.821041259715,410.27293786066,180.68030223431467,True
24,5,482,413,17,12787.324979785695,391.9533479366763,152.05638983701914,True
25,1,482,413,21,2055.284815856615,1880.0240812978332,2118.329985723587,False
26,2,482,413,21,4515.093855577785,2229.887680894262,4682.348933964994,False
27,3,482,413,21,6896.056738358543,448.85544281880254,387.9559495645398,True
28,4,482,413,21,9437.239435716141,406.8425992261874,281.7737888706753,True
29,5,482,413,21,12864.033618817279,390.04965636359503,227.97128610375623,True
30,1,482,413,9,2028.5090153882666,1855.591707346272,2092.531810866831,False
31,2,482,413,9,4531.64783641909,2237.027589858613,4657.315725278063,False
32,3,482,413,9,6942.455860242918,451.8673186320877,403.17121090699453,True
33,4,482,413,9,9288.868992187043,405.4473322293085,277.8796477647748,True
34,5,482,413,9,12673.576644188626,391.6994028440094,214.2501152616616,True
35,1,482,413,19,2114.3148633017336,1933.726381483169,2180.983993123415,False
